family	genus	species
Acanthaceae	155	833
Aceraceae	2	125
Achariaceae	22	39
Achatocarpaceae	2	2
Acoraceae	1	8
Acrobolbaceae	5	39
Actinidiaceae	3	64
Adelanthaceae	2	11
Adoxaceae	5	166
Aextoxicaceae	1	1
Agavaceae		
Agdestidaceae	1	1
Aizoaceae	135	508
Akaniaceae	2	2
Alismataceae	17	133
Allisoniaceae	1	1
Alseuosmiaceae	3	9
Alstroemeriaceae	5	150
Altingiaceae	2	15
Alzateaceae	1	1
Amaranthaceae	169	1083
Amaryllidaceae	80	1033
Amblystegiaceae	27	88
Amborellaceae	1	1
Ambuchananiaceae	1	1
Amphorogynaceae	9	16
Anacampserotaceae	6	27
Anacardiaceae	60	272
Anarthriaceae	3	11
Anastrophyllaceae	15	50
Ancistrocladaceae	1	21
Andreaeaceae	1	22
Andreaeobryaceae	1	1
Anemiaceae	1	24
Aneuraceae	4	52
Anisophylleaceae	4	18
Annonaceae	115	954
Anomodontaceae	7	16
Antheliaceae	1	1
Anthocerotaceae	3	37
Aphanopetalaceae	1	2
Aphloiaceae	1	1
Apiaceae	418	2190
Apocynaceae	331	2017
Apodanthaceae	3	10
Aponogetonaceae	1	35
Aptandraceae	8	11
Aquifoliaceae	2	169
Araceae	121	1028
Araliaceae	42	664
Araucariaceae	3	40
Archidiaceae	1	6
Arecaceae	195	1072
Argophyllaceae	2	10
Aristolochiaceae	6	273
Arnelliaceae	4	7
Asparagaceae	87	766
Asphodelaceae		
Aspleniaceae	3	237
Asteliaceae	4	37
Asteraceae	1323	9142
Asteropeiaceae	1	1
Atherospermataceae	7	13
Athyriaceae	10	206
Aulacomniaceae	3	9
Austrobaileyaceae	1	1
Aytoniaceae	5	49
Azollaceae	1	15
Balanopaceae	1	5
Balanophoraceae	9	16
Balantiopsidaceae	3	11
Balsaminaceae	2	251
Barbeuiaceae	1	1
Barbeyaceae	1	1
Bartramiaceae	12	66
Basellaceae	3	7
Bataceae	1	1
Begoniaceae	3	392
Berberidaceae	15	222
Berberidopsidaceae	1	3
Betulaceae	6	129
Biebersteiniaceae	1	4
Bignoniaceae	94	308
Bixaceae	4	6
Blandfordiaceae	1	4
Blasiaceae	2	2
Blechnaceae	9	121
Blepharidophyllaceae	1	1
Bonnetiaceae	3	12
Boraginaceae	124	1119
Borthwickiaceae	1	1
Boryaceae	2	5
Brachytheciaceae	49	268
Braithwaiteaceae	1	1
Brassicaceae	352	2446
Bretschneideraceae		
Brevianthaceae	1	1
Bromeliaceae	59	887
Bruchiaceae	3	5
Brunelliaceae	1	6
Bruniaceae	12	65
Bryaceae	11	104
Bryobartramiaceae	1	1
Bryoxiphiaceae	1	1
Burmanniaceae	13	63
Burseraceae	16	376
Butomaceae	1	1
Buxaceae	7	43
Buxbaumiaceae	1	4
Byblidaceae	1	7
Cabombaceae	2	12
Cactaceae	143	1247
Calceolariaceae	3	117
Calliergonaceae	5	12
Calophyllaceae	12	88
Calycanthaceae	3	40
Calyceraceae	6	13
Calyculariaceae	1	1
Calymperaceae	8	134
Calypogeiaceae	4	14
Campanulaceae	77	960
Campynemataceae	2	2
Canellaceae	6	18
Cannabaceae	9	63
Cannaceae	1	20
Capparaceae	23	93
Caprifoliaceae	37	480
Cardiopteridaceae	4	11
Caricaceae	6	39
Carlemanniaceae	2	3
Caryocaraceae	2	6
Caryophyllaceae	79	1107
Casuarinaceae	4	84
Catagoniaceae	1	5
Catoscopiaceae	1	1
Celastraceae	91	529
Centrolepidaceae	3	10
Centroplacaceae	2	5
Cephalotaceae	1	1
Cephalotaxaceae		
Cephaloziaceae	12	53
Cephaloziellaceae	5	20
Ceratophyllaceae	1	5
Cercidiphyllaceae	1	2
Cervantesiaceae	8	12
Cheiropleuriaceae	1	3
Chloranthaceae	4	67
Chrysobalanaceae	18	104
Cibotiaceae	1	6
Circaeasteraceae	2	2
Cistaceae	8	68
Cleomaceae	12	106
Clethraceae	2	26
Cleveaceae	3	5
Climaciaceae	2	5
Clusiaceae	20	282
Cochlospermaceae		
Colchicaceae	18	266
Columelliaceae	2	2
Comandraceae	2	3
Combretaceae	17	137
Commelinaceae	32	164
Connaraceae	7	14
Conocephalaceae	1	6
Convolvulaceae	50	536
Coriariaceae	1	13
Cornaceae	7	99
Corsiaceae	2	3
Corsiniaceae	1	1
Corynocarpaceae	1	5
Costaceae	7	90
Coulaceae	3	3
Crassulaceae	36	585
Crossosomataceae	4	6
Cryphaeaceae	10	17
Crypteroniaceae	3	7
Ctenolophonaceae	1	1
Cucurbitaceae	120	700
Culcitaceae	1	2
Cunoniaceae	27	129
Cupressaceae	32	173
Curtisiaceae	1	1
Cyatheaceae	4	159
Cyathodiaceae	1	5
Cycadaceae	2	81
Cyclanthaceae	8	26
Cymodoceaceae	5	13
Cynomoriaceae	1	2
Cyperaceae	105	1792
Cyrillaceae	2	2
Cystodiaceae	1	1
Cystopteridaceae	3	32
Cytinaceae	2	4
Daltoniaceae	13	95
Daphniphyllaceae	1	12
Dasypogonaceae	4	7
Datiscaceae	1	2
Davalliaceae	8	48
Degeneriaceae	1	3
Delavayellaceae	2	3
Dendrocerotaceae	4	76
Dennstaedtiaceae	10	45
Diapensiaceae	6	13
Dichapetalaceae	2	18
Dicksoniaceae	3	15
Dicranaceae	29	109
Didiereaceae	7	22
Diervillaceae		
Dilleniaceae	10	78
Dioncophyllaceae	3	4
Dioscoreaceae	5	235
Dipentodontaceae	2	3
Diphysciaceae	3	13
Diplaziopsidaceae	2	4
Dipsacaceae		
Dipteridaceae	1	3
Dipterocarpaceae	16	234
Dirachmaceae	1	1
Disceliaceae	1	1
Ditrichaceae	15	26
Doryanthaceae	1	2
Droseraceae	3	73
Drosophyllaceae	1	1
Drummondiaceae	1	3
Dryopteridaceae	37	763
Dumortieraceae	1	1
Ebenaceae	6	265
Ecdeiocoleaceae	2	3
Echinodiaceae	1	5
Elaeagnaceae	3	36
Elaeocarpaceae	13	128
Elatinaceae	2	10
Emblingiaceae	1	1
Encalyptaceae	2	10
Endogemmataceae	1	1
Entodontaceae	3	22
Ephedraceae	1	77
Equisetaceae	1	23
Ericaceae	125	1821
Eriocaulaceae	12	205
Erpodiaceae	3	5
Erythropalaceae	3	12
Erythroxylaceae	4	28
Escalloniaceae	8	52
Eucommiaceae	1	1
Euphorbiaceae	190	2169
Euphroniaceae	1	1
Eupomatiaceae	1	4
Eupteleaceae	1	3
Eustichiaceae	1	1
Exormothecaceae	3	4
Fabaceae	696	8270
Fabroniaceae	5	8
Fagaceae	10	387
Fissidentaceae	1	22
Flagellariaceae	1	2
Flatbergiaceae	1	1
Fontinalaceae	3	20
Fossombroniaceae	2	34
Fouquieriaceae	1	12
Frankeniaceae	1	10
Frullaniaceae	1	138
Funariaceae	10	30
Garryaceae	2	15
Geissolomataceae	1	1
Gelsemiaceae	1	4
Gentianaceae	84	824
Geocalycaceae	5	7
Geraniaceae	7	435
Gerrardinaceae	1	1
Gesneriaceae	139	1370
Gigaspermaceae	5	6
Ginkgoaceae	1	1
Gisekiaceae	1	4
Gleicheniaceae	6	35
Gnetaceae	1	40
Goebeliellaceae	1	1
Gomortegaceae	1	2
Goodeniaceae	12	212
Goupiaceae	1	1
Grammitidaceae	23	250
Grimmiaceae	8	162
Griseliniaceae	1	7
Grossulariaceae	1	105
Grubbiaceae	1	2
Guamatelaceae	1	1
Gunneraceae	1	30
Gymnomitriaceae	6	25
Gyrostemonaceae	3	8
Gyrothyraceae	1	1
Haemodoraceae	13	102
Halophytaceae	1	1
Haloragaceae	10	126
Hamamelidaceae	27	62
Hanguanaceae	1	22
Haplomitriaceae	1	6
Hedwigiaceae	5	6
Heliconiaceae	1	37
Helicophyllaceae	1	1
Helodiaceae	2	2
Helwingiaceae	1	3
Hemerocallidaceae		
Hemidictyaceae	1	1
Herbertaceae	2	30
Hernandiaceae	5	41
Herzogianthaceae	1	1
Heteropyxidaceae		
Himantandraceae	1	2
Hippocastanaceae	3	30
Hookeriaceae	2	6
Huaceae	2	4
Humiriaceae	5	13
Hyacinthaceae	78	467
Hydatellaceae	1	12
Hydnoraceae	2	4
Hydrangeaceae	16	116
Hydrocharitaceae	17	86
Hydroleaceae	1	3
Hydrophyllaceae	16	151
Hydrostachyaceae	1	9
Hylocomiaceae	15	37
Hymenophyllaceae	9	269
Hymenophyllopsidaceae		
Hymenophytaceae	1	3
Hypericaceae	7	317
Hypnaceae	36	107
Hypnodendraceae	8	24
Hypodematiaceae	2	5
Hypodontiaceae	1	2
Hypopterygiaceae	9	26
Hypoxidaceae	10	67
Icacinaceae	26	44
Iridaceae	77	1128
Irvingiaceae	3	5
Isoetaceae	1	98
Iteaceae	3	9
Ixerbaceae		
Ixioliriaceae	1	2
Ixonanthaceae	2	9
Jackiellaceae	1	2
Jamesoniellaceae	3	4
Joinvilleaceae	1	3
Jubulaceae	2	3
Juglandaceae	11	68
Juncaceae	7	210
Juncaginaceae	5	14
Jungermanniaceae	10	68
Kirkiaceae		
Koeberliniaceae	1	1
Krameriaceae	1	17
Lacistemataceae	2	5
Lactoridaceae	1	1
Lamiaceae	237	2397
Lanariaceae	1	1
Lardizabalaceae	10	25
Lauraceae	57	762
Laxmanniaceae		1
Leiosporocerotaceae	1	1
Lejeuneaceae	63	412
Lembophyllaceae	14	36
Lentibulariaceae	3	206
Lepicoleaceae	1	6
Lepidobotryaceae	2	2
Lepidolaenaceae	4	10
Lepidoziaceae	25	162
Leptodontaceae	4	18
Leptostomataceae	1	3
Lepyrodontaceae	2	10
Leskeaceae	19	47
Leucobryaceae	11	122
Leucodontaceae	5	24
Leucomiaceae	3	6
Liliaceae	15	484
Limeaceae	1	8
Limnanthaceae	2	9
Limnocharitaceae		
Linaceae	18	106
Linderniaceae	9	61
Lindsaeaceae	6	175
Linnaeaceae		
Loasaceae	20	228
Loganiaceae	17	206
Lomariopsidaceae	5	61
Lonchitidaceae	1	2
Lophiocarpaceae	1	2
Lophocoleaceae	12	93
Lophopyxidaceae	1	1
