family	genus	species
Lophosoriaceae		
Loranthaceae	62	144
Lowiaceae	1	15
Loxsomataceae	2	2
Lunulariaceae	1	1
Luzuriagaceae		
Lycopodiaceae	6	147
Lygodiaceae	1	20
Lythraceae	30	227
Magnoliaceae	3	163
Makinoaceae	1	2
Malesherbiaceae		
Malpighiaceae	73	358
Malvaceae	221	1250
Marantaceae	31	219
Marattiaceae	6	89
Marcgraviaceae	7	23
Marchantiaceae	3	12
Marsileaceae	3	47
Martyniaceae	5	13
Mastigophoraceae	2	3
Matoniaceae	2	4
Mayacaceae	1	2
Medusagynaceae		
Meesiaceae	5	13
Melanthiaceae	19	166
Melastomataceae	126	1216
Meliaceae	52	368
Melianthaceae	5	18
Memecylaceae		
Menispermaceae	61	191
Menyanthaceae	5	56
Metaxyaceae	1	2
Meteoriaceae	22	59
Metteniusaceae	1	1
Metzgeriaceae	2	32
Micromitriaceae	1	4
Misodendraceae	1	7
Mitrastemonaceae	1	1
Mitteniaceae	1	1
Miyabeaceae	3	4
Mizutaniaceae	1	1
Mniaceae	14	99
Moerckiaceae	2	5
Molluginaceae	10	44
Monimiaceae	25	71
Monocleaceae	1	3
Monosoleniaceae	1	1
Montiaceae	14	192
Montiniaceae	3	4
Moraceae	35	564
Morinaceae		
Moringaceae	1	12
Muntingiaceae	2	2
Musaceae	3	63
Myliaceae	2	3
Myodocarpaceae	2	19
Myricaceae	4	33
Myriniaceae	1	2
Myristicaceae	18	71
Myrothamnaceae	1	2
Myrsinaceae		
Myrtaceae	118	1214
Myuriaceae	4	7
Nanodeaceae	2	2
Nartheciaceae	5	29
Neckeraceae	29	128
Nelumbonaceae	1	3
Neohodgsoniaceae	1	1
Neotrichocoleaceae	2	2
Nepenthaceae	1	97
Neuradaceae	3	3
Nitrariaceae	4	11
Nothofagaceae	4	30
Notothyladaceae	4	44
Nyctaginaceae	25	143
Nymphaeaceae	6	94
Nyssaceae		
Ochnaceae	33	127
Octoknemaceae	1	2
Oedipodiaceae	1	1
Olacaceae	3	16
Oleaceae	26	369
Oleandraceae	1	8
Oliniaceae		
Onagraceae	26	332
Oncothecaceae	1	1
Onocleaceae	4	6
Ophioglossaceae	5	74
Opiliaceae	8	13
Orchidaceae	780	6685
Orobanchaceae	79	866
Orthodontiaceae	4	11
Orthorrhynchiaceae	1	1
Orthotrichaceae	23	113
Osmundaceae	5	18
Oxalidaceae	5	349
Oxymitraceae	1	2
Paeoniaceae	1	50
Pallaviciniaceae	7	38
Pandaceae	3	11
Pandanaceae	5	183
Papaveraceae	43	296
Paracryphiaceae	3	5
Parnassiaceae		
Passifloraceae	28	484
Paulowniaceae	1	6
Pedaliaceae	13	34
Peganaceae		
Pelliaceae	2	14
Penaeaceae	9	26
Pennantiaceae	1	4
Pentadiplandraceae	1	1
Pentaphragmataceae	1	3
Pentaphylacaceae	10	83
Penthoraceae	1	2
Peraceae	3	15
Peridiscaceae	4	7
Perssoniellaceae	1	1
Petalophyllaceae	1	1
Petermanniaceae	1	1
Petiveriaceae	1	1
Petrosaviaceae	2	4
Phellinaceae	1	3
Philesiaceae	1	1
Philydraceae	3	6
Phrymaceae	16	143
Phycolepidoziaceae	1	1
Phyllanthaceae	58	534
Phyllodrepaniaceae	2	2
Phyllogoniaceae	1	3
Phyllonomaceae	1	3
Phyllothalliaceae	1	2
Phymatocerotaceae	1	2
Physenaceae	1	2
Phytolaccaceae	11	23
Picramniaceae	2	5
Picrodendraceae	15	19
Pilotrichaceae	20	47
Pinaceae	11	281
Piperaceae	7	604
Pittosporaceae	9	86
Plagiochilaceae	7	166
Plagiogyriaceae	1	11
Plagiotheciaceae	7	49
Plantaginaceae	87	1033
Platanaceae	1	12
Pleurophascaceae	1	2
Pleuroziaceae	1	6
Pleuroziopsidaceae		
Plocospermataceae	1	1
Plumbaginaceae	16	187
Poaceae	705	5044
Podocarpaceae	20	175
Podostemaceae	49	281
Polemoniaceae	26	279
Polygalaceae	19	311
Polygonaceae	54	689
Polyosmaceae		
Polypodiaceae	49	475
Polytrichaceae	18	132
Pontederiaceae	5	23
Porellaceae	3	47
Portulacaceae	1	67
Posidoniaceae	1	9
Potamogetonaceae	5	126
Pottiaceae	75	311
Primulaceae	52	844
Prionodontaceae	1	1
Proteaceae	81	653
Pseudolepicoleaceae	4	5
Psilotaceae	2	10
Pteridaceae	58	698
Pterigynandraceae	5	9
Pterobryaceae	19	31
Pterobryellaceae	3	7
Pterostemonaceae		
Ptilidiaceae	1	5
Ptychomitriaceae	5	18
Ptychomniaceae	11	36
Pulchrinodaceae	1	1
Putranjivaceae	4	36
Pylaisiadelphaceae	16	73
Quiinaceae		
Quillajaceae	1	1
Racopilaceae	2	7
Radulaceae	1	153
Rafflesiaceae	3	27
Ranunculaceae	63	1252
Rapateaceae	15	30
Regmatodontaceae	2	5
Resedaceae	7	75
Restionaceae	54	431
Rhabdodendraceae	1	2
Rhabdoweisiaceae	14	35
Rhachidosoraceae	1	4
Rhachitheciaceae	4	6
Rhacocarpaceae	1	1
Rhamnaceae	52	346
Rhipogonaceae	1	6
Rhizogoniaceae	5	20
Rhizophoraceae	15	59
Rhoipteleaceae		
Rhytidiaceae	1	1
Ricciaceae	2	30
Riellaceae	1	3
Rigodiaceae		
Roridulaceae	1	3
Rosaceae	112	1743
Rousseaceae	4	7
Rubiaceae	513	3822
Ruppiaceae	1	9
Ruscaceae		
Rutaceae	130	781
Rutenbergiaceae	3	3
Sabiaceae	2	25
Saccolomataceae	2	6
Salicaceae	50	524
Salvadoraceae	2	5
Salviniaceae	1	14
Santalaceae	11	37
Sapindaceae	113	494
Sapotaceae	63	511
Sarcobataceae	1	1
Sarcolaenaceae	2	7
Sarraceniaceae	3	20
Saulomataceae	2	2
Saururaceae	4	6
Saxifragaceae	33	349
Scapaniaceae	12	103
Scheuchzeriaceae	1	1
Schimperobryaceae	1	1
Schisandraceae	3	56
Schistochilaceae	5	55
Schistostegaceae	1	1
Schizaeaceae	2	12
Schlegeliaceae	3	6
Schoepfiaceae	3	9
Sciadopityaceae	1	1
Scouleriaceae	2	7
Scrophulariaceae	55	441
Selaginellaceae	1	146
Seligeriaceae	4	7
Sematophyllaceae	23	63
Serpotortellaceae	1	1
Setchellanthaceae	1	1
Simaroubaceae	21	73
Simmondsiaceae	1	1
Siparunaceae	2	28
Sladeniaceae	2	3
Smilacaceae	3	131
Solanaceae	99	1661
Solenostomataceae	4	43
Sphaerocarpaceae	2	4
Sphaerosepalaceae	2	6
Sphagnaceae	1	198
Sphenocleaceae	1	1
Sphenostemonaceae		
Splachnaceae	6	50
Stachyuraceae	1	11
Stangeriaceae		
Staphyleaceae	4	12
Stegnospermataceae	1	3
Stemonaceae	4	22
Stemonuraceae	6	9
Stereophyllaceae	5	5
Stilbaceae	11	22
Strasburgeriaceae	2	2
Strelitziaceae	3	11
Strombosiaceae	6	13
Stylidiaceae	6	21
Styracaceae	10	77
Surianaceae	5	6
Symphyodontaceae	6	13
Symplocaceae	1	145
Takakiaceae	1	3
Talinaceae	2	17
Tamaricaceae	3	82
Tapisciaceae	1	1
Targioniaceae	1	2
Taxaceae	6	39
Tecophilaeaceae	9	22
Tectariaceae	12	127
Ternstroemiaceae		
Tetracarpaeaceae	1	1
Tetrachondraceae	2	3
Tetramelaceae	2	2
Tetrameristaceae	3	6
Tetraphidaceae	2	3
Theaceae	13	228
Theliaceae	1	3
Thelypteridaceae	30	164
Themidaceae		
Theophrastaceae		
Thesiaceae	6	80
Thomandersiaceae	1	2
Thuidiaceae	7	20
Thurniaceae	2	5
Thymelaeaceae	36	343
Thyrsopteridaceae	1	1
Ticodendraceae	1	1
Timmiaceae	1	6
Tofieldiaceae	5	20
Torricelliaceae	3	8
Tovariaceae	1	1
Trachylomataceae	1	3
Treubiaceae	2	10
Trichocoleaceae	4	11
Trichotemnomataceae	1	1
Trigoniaceae	2	7
Trimeniaceae	1	2
Triuridaceae	7	21
Trochodendraceae	2	2
Tropaeolaceae	3	47
Turneraceae		
Typhaceae	3	40
Ulmaceae	8	38
Urticaceae	51	406
Vahliaceae	1	3
Valerianaceae		
Velloziaceae	10	66
Verbenaceae	36	256
Vetaformataceae	1	1
Violaceae	26	443
Viscaceae	7	106
Vitaceae	14	529
Vittariaceae		
Vivianiaceae	4	13
Vochysiaceae	7	24
Welwitschiaceae	1	1
Wiesnerellaceae	1	2
Winteraceae	7	40
Woodsiaceae	1	16
Xanthoceraceae	1	1
Xanthorrhoeaceae	40	378
Xeronemataceae	1	1
Ximeniaceae	4	5
Xyridaceae	4	18
Zamiaceae	8	225
Zingiberaceae	53	767
Zosteraceae	3	21
Zygophyllaceae	22	156
